Slides View,Slides Edit,Slides Title,Full Event,Event Year,Date,YouTube,Video Title
,,"wafer.space: Silicon now $4 USD, get inspired from Run #1!","Hackware hardware meetup, Singapore",2026,,https://www.youtube.com/watch?v=t6Z0_Krhshc,"wafer.space: Silicon now $4 USD, get inspired from Run #1! - Hackware Apr 2026"
,,"Teardown Session 56: wafer.space with Tim Ansell & Leo Moser","Crowd Supply Teardown Session (livestream)",2025,2 Oct 2025,https://www.youtube.com/watch?v=tEOmnN8IAjs,"Teardown Session 56: wafer.space"
https://bit.ly/mithro-lbnl25,,"A brain dump on open source silicon (FPGAs, ASICs and similar)","Lawrence Berkeley National Laboratory (LBNL) seminar",2025,,,
,,"wafer.space - Budget silicon manufacturing (lightning talk)","Latch-Up 2025, UC Santa Barbara",2025,3 May 2025,,
https://bit.ly/open-silicon-fbx,,"So you wanna make a chip? Open Source Silicon","Flashbots_X, San Francisco",2025,14 Mar 2025,,
https://bit.ly/open-silicon-dacc,,"So you wanna make a chip? Open Source Silicon","<d/acc day> @ UC Berkeley",2025,13 Mar 2025,,
https://bit.ly/mithro-hepic24,,"Open-source silicon enabling HEP-IC opportunities","High Energy Physics IC Workshop (HEP-IC 2024), Brookhaven National Laboratory",2024,2 May 2024,,
https://bit.ly/mithro-cicc24,,"Will open source design be the future direction? (panelist)","IEEE Custom Integrated Circuits Conference (CICC) 2024, Denver",2024,22 Apr 2024,,
https://bit.ly/tim-silicon-2024,,"Tim's Silicon Presentations","Latch-Up 2024, MIT",2024,,https://www.youtube.com/watch?v=FDYfu0Mx__0,"""Tim's Silicon Presentations"" - Tim Ansell (Latch_2024)"
https://bit.ly/goog-ic-edu,,"Education and workforce development",,2023,,,
https://bit.ly/open-pipe-talk,,"SERDES, PIPE and protocols - Pathway to fully open source implementations",,2023,,,
https://docs.google.com/presentation/d/1OwQk496IsRp-9S61GmK5Ew7lkc1Qf1SRQ3MvaJn9Fsc,,"wafer.space - COSCUP 2026","COSCUP 2026",2026,,,
https://docs.google.com/presentation/d/19B_h0WY9UAcuUAcgJF6T_YBWIk7LCmVd9yK6ZmSfHk4,,"wafer.space - Hack-A-Day Europe 2026","Hackaday Europe 2026",2026,,,
https://docs.google.com/presentation/d/1PF5bVWQY2wML1B6cTRs9q0EVngTXpYYBdOQMwuvrHx4,,"wafer.space - Silicon Sprint AUC 2026","Silicon Sprint AUC 2026",2026,,,
https://docs.google.com/presentation/d/1rm-qfeo2sq3mF7M_VMgdgMnmqoOVOsmlqGDwuwcfNG0,,"wafer.space - Down Underflow 2026","Down Underflow 2026",2026,,,
https://docs.google.com/presentation/d/1w7wblALt7JnNUvFwazbV_eICCFPlBI-f8cd3xUwHwZM,,"wafer.space - Hackware 2025","Hackware hardware meetup, Singapore",2025,,,
https://docs.google.com/presentation/d/17PmLMICwDsupvkcZhJs-43lX7KdScTgKq_0T_QwlIo4,,"ESSCIRC workshop 2022 presentation","ESSCIRC ESSDERC 2022",2022,,,
https://wafer.space/tsri26,,"wafer.space - TSRI 2026","Taiwan Semiconductor Research Institute (TSRI), Tainan",2026,10 Aug 2026,,
